nr,name_de,name_en,typ1,typ2,region,generation,entwicklungsstufe,entwickelt_aus_de,entwickelt_aus_en,hp,angriff,verteidigung,spezial_angriff,spezial_verteidigung,initiative,sprite_url,sprite_bulbapedia
18,Tauboss,Pidgeot,Normal,Flug,Kanto,I,2,,pidgeotto,83,80,75,70,70,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,https://archives.bulbagarden.net/media/upload/7/73/0018Pidgeot.png
19,Rattfratz,Rattata,Normal,,Kanto,I,0,,,30,56,35,25,35,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,https://archives.bulbagarden.net/media/upload/a/aa/0019Rattata.png
20,Rattikarl,Raticate,Normal,,Kanto,I,1,,rattata,55,81,60,50,70,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,https://archives.bulbagarden.net/media/upload/2/2c/0020Raticate.png
21,Habitak,Spearow,Normal,Flug,Kanto,I,0,,,40,60,30,31,31,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,https://archives.bulbagarden.net/media/upload/2/2d/0021Spearow.png
22,Ibitak,Fearow,Normal,Flug,Kanto,I,1,,spearow,65,90,65,61,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,https://archives.bulbagarden.net/media/upload/9/92/0022Fearow.png
23,Rettan,Ekans,Gift,,Kanto,I,0,,,35,60,44,40,54,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,https://archives.bulbagarden.net/media/upload/d/d2/0023Ekans.png
24,Arbok,Arbok,Gift,,Kanto,I,1,,ekans,60,95,69,65,79,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,https://archives.bulbagarden.net/media/upload/5/51/0024Arbok.png
25,Pikachu,Pikachu,Elektro,,Kanto,I,1,,pichu,35,55,40,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,https://archives.bulbagarden.net/media/upload/4/4a/0025Pikachu.png
26,Raichu,Raichu,Elektro,,Kanto,I,2,,pikachu,60,90,55,90,80,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,https://archives.bulbagarden.net/media/upload/b/b0/0026Raichu.png
27,Sandan,Sandshrew,Boden,,Kanto,I,0,,,50,75,85,20,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,https://archives.bulbagarden.net/media/upload/e/e9/0027Sandshrew.png
28,Sandamer,Sandslash,Boden,,Kanto,I,1,,sandshrew,75,100,110,45,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,https://archives.bulbagarden.net/media/upload/a/a4/0028Sandslash.png
29,Nidoran♀,Nidoran♀,Gift,,Kanto,I,0,,,55,47,52,40,40,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,https://archives.bulbagarden.net/media/upload/b/b2/0029Nidoran.png
30,Nidorina,Nidorina,Gift,,Kanto,I,1,,nidoran-f,70,62,67,55,55,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,https://archives.bulbagarden.net/media/upload/e/ea/0030Nidorina.png
31,Nidoqueen,Nidoqueen,Gift,Boden,Kanto,I,2,,nidorina,90,92,87,75,85,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,https://archives.bulbagarden.net/media/upload/9/9d/0031Nidoqueen.png
32,Nidoran♂,Nidoran♂,Gift,,Kanto,I,0,,,46,57,40,40,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,https://archives.bulbagarden.net/media/upload/8/8c/0032Nidoran.png
33,Nidorino,Nidorino,Gift,,Kanto,I,1,,nidoran-m,61,72,57,55,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,https://archives.bulbagarden.net/media/upload/1/1e/0033Nidorino.png
34,Nidoking,Nidoking,Gift,Boden,Kanto,I,2,,nidorino,81,102,77,85,75,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,https://archives.bulbagarden.net/media/upload/2/21/0034Nidoking.png
35,Piepi,Clefairy,Fee,,Kanto,I,1,,cleffa,70,45,48,60,65,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,https://archives.bulbagarden.net/media/upload/b/b7/0035Clefairy.png
36,Pixi,Clefable,Fee,,Kanto,I,2,,clefairy,95,70,73,95,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,https://archives.bulbagarden.net/media/upload/a/a4/0036Clefable.png
37,Vulpix,Vulpix,Feuer,,Kanto,I,0,,,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,https://archives.bulbagarden.net/media/upload/0/06/0037Vulpix.png
38,Vulnona,Ninetales,Feuer,,Kanto,I,1,,vulpix,73,76,75,81,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,https://archives.bulbagarden.net/media/upload/3/3e/0038Ninetales.png
39,Pummeluff,Jigglypuff,Normal,Fee,Kanto,I,1,,igglybuff,115,45,20,45,25,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,https://archives.bulbagarden.net/media/upload/3/3a/0039Jigglypuff.png
40,Knuddeluff,Wigglytuff,Normal,Fee,Kanto,I,2,,jigglypuff,140,70,45,85,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,https://archives.bulbagarden.net/media/upload/e/e2/0040Wigglytuff.png
41,Zubat,Zubat,Gift,Flug,Kanto,I,0,,,40,45,35,30,40,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,https://archives.bulbagarden.net/media/upload/4/4c/0041Zubat.png
42,Golbat,Golbat,Gift,Flug,Kanto,I,1,,zubat,75,80,70,65,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,https://archives.bulbagarden.net/media/upload/7/76/0042Golbat.png
43,Myrapla,Oddish,Pflanze,Gift,Kanto,I,0,,,45,50,55,75,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,https://archives.bulbagarden.net/media/upload/1/16/0043Oddish.png
44,Duflor,Gloom,Pflanze,Gift,Kanto,I,1,,oddish,60,65,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,https://archives.bulbagarden.net/media/upload/e/e0/0044Gloom.png
45,Giflor,Vileplume,Pflanze,Gift,Kanto,I,2,,gloom,75,80,85,110,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,https://archives.bulbagarden.net/media/upload/8/89/0045Vileplume.png
46,Paras,Paras,Käfer,Pflanze,Kanto,I,0,,,35,70,55,45,55,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,https://archives.bulbagarden.net/media/upload/8/8a/0046Paras.png
47,Parasek,Parasect,Käfer,Pflanze,Kanto,I,1,,paras,60,95,80,60,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,https://archives.bulbagarden.net/media/upload/7/7b/0047Parasect.png
48,Bluzuk,Venonat,Käfer,Gift,Kanto,I,0,,,60,55,50,40,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,https://archives.bulbagarden.net/media/upload/2/2c/0048Venonat.png
49,Omot,Venomoth,Käfer,Gift,Kanto,I,1,,venonat,70,65,60,90,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,https://archives.bulbagarden.net/media/upload/0/0e/0049Venomoth.png
50,Digda,Diglett,Boden,,Kanto,I,0,,,10,55,25,35,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,https://archives.bulbagarden.net/media/upload/a/a6/0050Diglett.png
51,Digdri,Dugtrio,Boden,,Kanto,I,1,,diglett,35,100,50,50,70,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,https://archives.bulbagarden.net/media/upload/8/88/0051Dugtrio.png
52,Mauzi,Meowth,Normal,,Kanto,I,0,,,40,45,35,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,https://archives.bulbagarden.net/media/upload/d/d6/0052Meowth.png
53,Snobilikat,Persian,Normal,,Kanto,I,1,,meowth,65,70,60,65,65,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,https://archives.bulbagarden.net/media/upload/b/b0/0053Persian.png
54,Enton,Psyduck,Wasser,,Kanto,I,0,,,50,52,48,65,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,https://archives.bulbagarden.net/media/upload/3/3f/0054Psyduck.png
55,Entoron,Golduck,Wasser,,Kanto,I,1,,psyduck,80,82,78,95,80,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,https://archives.bulbagarden.net/media/upload/e/ed/0055Golduck.png
56,Menki,Mankey,Kampf,,Kanto,I,0,,,40,80,35,35,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,https://archives.bulbagarden.net/media/upload/f/fa/0056Mankey.png
57,Rasaff,Primeape,Kampf,,Kanto,I,1,,mankey,65,105,60,60,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,https://archives.bulbagarden.net/media/upload/2/2c/0057Primeape.png
58,Fukano,Growlithe,Feuer,,Kanto,I,0,,,55,70,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,https://archives.bulbagarden.net/media/upload/6/6a/0058Growlithe.png
59,Arkani,Arcanine,Feuer,,Kanto,I,1,,growlithe,90,110,80,100,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,https://archives.bulbagarden.net/media/upload/4/42/0059Arcanine.png
60,Quapsel,Poliwag,Wasser,,Kanto,I,0,,,40,50,40,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,https://archives.bulbagarden.net/media/upload/e/e4/0060Poliwag.png
61,Quaputzi,Poliwhirl,Wasser,,Kanto,I,1,,poliwag,65,65,65,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,https://archives.bulbagarden.net/media/upload/f/fd/0061Poliwhirl.png
62,Quappo,Poliwrath,Wasser,Kampf,Kanto,I,2,,poliwhirl,90,95,95,70,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,https://archives.bulbagarden.net/media/upload/8/80/0062Poliwrath.png
63,Abra,Abra,Psycho,,Kanto,I,0,,,25,20,15,105,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,https://archives.bulbagarden.net/media/upload/b/bd/0063Abra.png
64,Kadabra,Kadabra,Psycho,,Kanto,I,1,,abra,40,35,30,120,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,https://archives.bulbagarden.net/media/upload/a/af/0064Kadabra.png
65,Simsala,Alakazam,Psycho,,Kanto,I,2,,kadabra,55,50,45,135,95,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,https://archives.bulbagarden.net/media/upload/b/bb/0065Alakazam.png
66,Machollo,Machop,Kampf,,Kanto,I,0,,,70,80,50,35,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,https://archives.bulbagarden.net/media/upload/0/02/0066Machop.png
67,Maschock,Machoke,Kampf,,Kanto,I,1,,machop,80,100,70,50,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,https://archives.bulbagarden.net/media/upload/2/22/0067Machoke.png
68,Machomei,Machamp,Kampf,,Kanto,I,2,,machoke,90,130,80,65,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,https://archives.bulbagarden.net/media/upload/8/82/0068Machamp.png
69,Knofensa,Bellsprout,Pflanze,Gift,Kanto,I,0,,,50,75,35,70,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,https://archives.bulbagarden.net/media/upload/6/66/0069Bellsprout.png
70,Ultrigaria,Weepinbell,Pflanze,Gift,Kanto,I,1,,bellsprout,65,90,50,85,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,https://archives.bulbagarden.net/media/upload/c/c1/0070Weepinbell.png
71,Sarzenia,Victreebel,Pflanze,Gift,Kanto,I,2,,weepinbell,80,105,65,100,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,https://archives.bulbagarden.net/media/upload/e/e9/0071Victreebel.png
72,Tentacha,Tentacool,Wasser,Gift,Kanto,I,0,,,40,40,35,50,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,https://archives.bulbagarden.net/media/upload/6/6e/0072Tentacool.png
73,Tentoxa,Tentacruel,Wasser,Gift,Kanto,I,1,,tentacool,80,70,65,80,120,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,https://archives.bulbagarden.net/media/upload/c/cb/0073Tentacruel.png
74,Kleinstein,Geodude,Gestein,Boden,Kanto,I,0,,,40,80,100,30,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,https://archives.bulbagarden.net/media/upload/9/97/0074Geodude.png
75,Georok,Graveler,Gestein,Boden,Kanto,I,1,,geodude,55,95,115,45,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,https://archives.bulbagarden.net/media/upload/d/d4/0075Graveler.png
76,Geowaz,Golem,Gestein,Boden,Kanto,I,2,,graveler,80,120,130,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,https://archives.bulbagarden.net/media/upload/3/38/0076Golem.png
77,Ponita,Ponyta,Feuer,,Kanto,I,0,,,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,https://archives.bulbagarden.net/media/upload/c/c0/0077Ponyta.png
78,Gallopa,Rapidash,Feuer,,Kanto,I,1,,ponyta,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,https://archives.bulbagarden.net/media/upload/a/a9/0078Rapidash.png
79,Flegmon,Slowpoke,Wasser,Psycho,Kanto,I,0,,,90,65,65,40,40,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,https://archives.bulbagarden.net/media/upload/1/19/0079Slowpoke.png
80,Lahmus,Slowbro,Wasser,Psycho,Kanto,I,1,,slowpoke,95,75,110,100,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,https://archives.bulbagarden.net/media/upload/a/a3/0080Slowbro.png
81,Magnetilo,Magnemite,Elektro,Stahl,Kanto,I,0,,,25,35,70,95,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,https://archives.bulbagarden.net/media/upload/a/a2/0081Magnemite.png
82,Magneton,Magneton,Elektro,Stahl,Kanto,I,1,,magnemite,50,60,95,120,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,https://archives.bulbagarden.net/media/upload/d/d9/0082Magneton.png
83,Porenta,Farfetch’d,Normal,Flug,Kanto,I,0,,,52,90,55,58,62,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,
84,Dodu,Doduo,Normal,Flug,Kanto,I,0,,,35,85,45,35,35,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,https://archives.bulbagarden.net/media/upload/b/b9/0084Doduo.png
85,Dodri,Dodrio,Normal,Flug,Kanto,I,1,,doduo,60,110,70,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,https://archives.bulbagarden.net/media/upload/9/97/0085Dodrio.png
86,Jurob,Seel,Wasser,,Kanto,I,0,,,65,45,55,45,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,https://archives.bulbagarden.net/media/upload/2/22/0086Seel.png
87,Jugong,Dewgong,Wasser,Eis,Kanto,I,1,,seel,90,70,80,70,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,https://archives.bulbagarden.net/media/upload/2/2b/0087Dewgong.png
88,Sleima,Grimer,Gift,,Kanto,I,0,,,80,80,50,40,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,https://archives.bulbagarden.net/media/upload/e/eb/0088Grimer.png
89,Sleimok,Muk,Gift,,Kanto,I,1,,grimer,105,105,75,65,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,https://archives.bulbagarden.net/media/upload/4/41/0089Muk.png
90,Muschas,Shellder,Wasser,,Kanto,I,0,,,30,65,100,45,25,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,https://archives.bulbagarden.net/media/upload/3/3e/0090Shellder.png
91,Austos,Cloyster,Wasser,Eis,Kanto,I,1,,shellder,50,95,180,85,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,https://archives.bulbagarden.net/media/upload/9/90/0091Cloyster.png
92,Nebulak,Gastly,Geist,Gift,Kanto,I,0,,,30,35,30,100,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,https://archives.bulbagarden.net/media/upload/c/c2/0092Gastly.png
93,Alpollo,Haunter,Geist,Gift,Kanto,I,1,,gastly,45,50,45,115,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,https://archives.bulbagarden.net/media/upload/d/d1/0093Haunter.png
94,Gengar,Gengar,Geist,Gift,Kanto,I,2,,haunter,60,65,60,130,75,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,https://archives.bulbagarden.net/media/upload/4/47/0094Gengar.png
95,Onix,Onix,Gestein,Boden,Kanto,I,0,,,35,45,160,30,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,https://archives.bulbagarden.net/media/upload/b/b7/0095Onix.png
96,Traumato,Drowzee,Psycho,,Kanto,I,0,,,60,48,45,43,90,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,https://archives.bulbagarden.net/media/upload/e/e4/0096Drowzee.png
97,Hypno,Hypno,Psycho,,Kanto,I,1,,drowzee,85,73,70,73,115,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,https://archives.bulbagarden.net/media/upload/4/4c/0097Hypno.png
98,Krabby,Krabby,Wasser,,Kanto,I,0,,,30,105,90,25,25,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,https://archives.bulbagarden.net/media/upload/e/ed/0098Krabby.png
99,Kingler,Kingler,Wasser,,Kanto,I,1,,krabby,55,130,115,50,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,https://archives.bulbagarden.net/media/upload/a/ae/0099Kingler.png
100,Voltobal,Voltorb,Elektro,,Kanto,I,0,,,40,30,50,55,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,https://archives.bulbagarden.net/media/upload/5/55/0100Voltorb.png
101,Lektrobal,Electrode,Elektro,,Kanto,I,1,,voltorb,60,50,70,80,80,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,https://archives.bulbagarden.net/media/upload/d/db/0101Electrode.png
102,Owei,Exeggcute,Pflanze,Psycho,Kanto,I,0,,,60,40,80,60,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,https://archives.bulbagarden.net/media/upload/6/60/0102Exeggcute.png
103,Kokowei,Exeggutor,Pflanze,Psycho,Kanto,I,1,,exeggcute,95,95,85,125,75,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,https://archives.bulbagarden.net/media/upload/a/ae/0103Exeggutor.png
104,Tragosso,Cubone,Boden,,Kanto,I,0,,,50,50,95,40,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,https://archives.bulbagarden.net/media/upload/1/19/0104Cubone.png
105,Knogga,Marowak,Boden,,Kanto,I,1,,cubone,60,80,110,50,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,https://archives.bulbagarden.net/media/upload/a/a1/0105Marowak.png
106,Kicklee,Hitmonlee,Kampf,,Kanto,I,1,,tyrogue,50,120,53,35,110,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,https://archives.bulbagarden.net/media/upload/0/00/0106Hitmonlee.png
107,Nockchan,Hitmonchan,Kampf,,Kanto,I,1,,tyrogue,50,105,79,35,110,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,https://archives.bulbagarden.net/media/upload/c/c0/0107Hitmonchan.png
108,Schlurp,Lickitung,Normal,,Kanto,I,0,,,90,55,75,60,75,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,https://archives.bulbagarden.net/media/upload/f/f2/0108Lickitung.png
